,Название,Фандомы,Автор,Пейринг и персонажи,Жанр,Все теги,Теги 18+,Возрастное ограничение,Статус,Лайки,Отзывы,В сборник,Размер,Описание,Посвящение,Примечания автора,Публикация на других ресурсах,Горячая работа
529,Io vengo dalla luna,"['Евровидение', 'Måneskin', 'Damiano David']",['loqiexistence'],['Дамиано Давид/Томас Раджи'],Слэш,"['Драббл', 'Драма', 'Курение', 'Нецензурная лексика', 'Психология', 'Романтика', 'Счастливый финал', 'Частичный ООС']","['Курение', 'Нецензурная лексика']",PG-13,Завершён,1,0,0,"7 страниц,
                                                1 часть","Восхищение Томасом, восхождение группы к небесам, в один ряд к сияющим звездах. Что-то такое же возвышенное между персонажами, больше, чем крепкая дружба.
Лунная зарисовка, родившаяся из сна моей Марлены. ",,"Изначальный вариант публикации - https://vk.com/@pblcexist-io-vengo-dalla-luna
Группа автора - https://vk.com/pblcexist

ИЛЛЮСТРАЦИЯ - https://vk.com/wall-201180994_123",Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,False
530,Реп или секс,"[""Friday Night Funkin'""]",['Леон4ик Пончик'],[],Гет,"['Громкий секс', 'Минет', 'Нежный секс', 'Нецензурная лексика', 'Потеря девственности', 'Стёб']","['Громкий секс', 'Минет', 'Нежный секс', 'Нецензурная лексика', 'Потеря девственности']",NC-17,В процессе,8,12,0,"планируется Миди, написано                                                13 страниц,
                                                7 частей",Убейте меня этот фанфик дикий..........КРИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИНЖ,,Она будет необычной,Уточнять у автора/переводчика,False
531,Пошатнись в своих убеждениях,['Shingeki no Kyojin'],"['Darkoss Zlo', 'Ardellia']",['Леви Аккерман/Микаса Аккерман'],Гет,"['AU', 'ER', 'Ангст', 'Беременность', 'Боль', 'Временная смерть персонажа', 'Драма', 'Дружба', 'Канонная смерть персонажа', 'Любовь/Ненависть', 'Насилие', 'Нецензурная лексика', 'ОЖП', 'ОМП', 'ООС', 'Романтика', 'Смерть второстепенных персонажей', 'Упоминания войны']","['Насилие', 'Нецензурная лексика']",NC-17,В процессе,178,162,59,"планируется Макси, написано                                                109 страниц,
                                                18 частей","Каждый неверный шаг - может лишить тебя жизни. Но что, если этих ошибок не избежать. Сколько раз нужно начинать жизнь с чистого листа, и давать обещания, которые ты не в силах исполнить? Сколько раз тебя будут предовать, а может предатель это - ты? А если конец не наступит уже никогда...",,"Хочу рассказать о некоторых деталях данного фика:
1. Некоторые события и действия будут идти не по канону или манге.
2. Некоторые персонажи не погибнут как в аниме или манге.
3. Возраст некоторых героев также может быть кое-где  переделан (иногда автор делал это намеренно).
4. В начале работы Микасе - 16, Леви - 27).
5. Первое название фф - ""За ложь всегда надо платить"".

ПБ для всех открыта. Если увидите ошибки, можете их отмечать)))  
Отношусь к любой критике нормально, так что пишите так как думаете.

Так же хочу отдельно поблагодарить тех, кто со мной с самого начала этого фанфика и проходят все творческие кризисы со мной. Говорю вам отдельное большое спасибо) 

Большое спасибо вам всем за 150 ваших оценок ""нравится"".
Всех люблю)))",Разрешено только в виде ссылки,False
532,Горе в зелёных очках,['13 карт'],['Разные.Фандомы3332'],"['male!Вару /Пик', 'Курамаку /Зонтик', 'Рамео/Феликс']",Слэш,"['Дружба', 'Любовь/Ненависть', 'Нецензурная лексика', 'Психология', 'Романтика']",['Нецензурная лексика'],G,В процессе,0,0,0,"планируется Миди, написана                                                1 страница,
                                                1 часть","Горе в зелёных очках снова творит всякую фигню. Обижает зонта, обливает всех краской. Есть ли у него вообще чувства к кому либо? ",,"Ребят, первый фанфик. Я не стану вам портить психику насилиями. Я постараюсь сделать что-то вполне милое",Уточнять у автора/переводчика,False
533,Не такой,"['Twitch', 'Hestishkin']",['Котена'],['Владимир Семенюк/Алексей Губанов'],Слэш,"['Hurt/Comfort', 'Ангст', 'Нецензурная лексика', 'Ревность']",['Нецензурная лексика'],NC-17,Завершён,69,5,10,"41 страница,
                                                2 части","Хесус с Жожо проводит много времени. Стримы, прогулки и кто знает, что ещё.",,"Написала это ещё до 20 мая, но не знала как закончить, а больше недели и вовсе не могла этим заниматься, так что в итоге оставила как есть.
Сейчас читала и так удивилась, как это всё было давно.",Уточнять у автора/переводчика,False
534,Что со мной не так?!?!,"['Madness Combat', ""Friday Night Funkin'"", 'Жуткий месяц']","['DJONIFER days', 'MAGICAL_EPIC', 'Девочка с мелким подвохом', 'Печенька74']","['Girlfriend /Boyfriend', 'Pico/Boyfriend']",Смешанная,"['Анальный секс', 'Жестокость', 'Курение', 'Минет', 'Наемники', 'Насилие', 'Нецензурная лексика', 'Рейтинг за секс', 'США']","['Анальный секс', 'Жестокость', 'Курение', 'Минет', 'Насилие', 'Нецензурная лексика', 'Рейтинг за секс']",NC-17,В процессе,27,78,0,"планируется Миди, написано                                                13 страниц,
                                                13 частей","Кейт он же бойфренд: в первых 2 частях становится жертвой рыжика! В последующих частях каком-то всмысле он доверяет пико . ( и он карлик)
Пико : наёмник любящий мучить своих жертв. В конце он становится кейту больше 
Лина, Ли она же girlfriend: (тут всё более интересно) она рождена демоном под прикрытием.  Её родители дирест и мирест очень строги и не разрешают гулять до 20.00 . Они просто боятся за свою дочку , на самом деле они хорошие слушатели и очень манервные,  от них никогда не плохи...",,"Прошлую мою работу удалили из-за черезмерного мата туда и сюда ! 
Теперь учусь на ошибках",Разрешено в любом виде,False
535,Проклятье старого дома,['Кантриболс (Страны-шарики)'],['Реночка Ютубер'],"['Россия/США', 'СССР/Третий Рейх', 'Китай /Вьетнам', 'Канада/Казахстан']",Слэш,"['AU', 'Hurt/Comfort', 'Ангст', 'Временная смерть персонажа', 'Выживание', 'Вымышленные существа', 'Дарк', 'Драма', 'Дружба', 'Любовь/Ненависть', 'Мистика', 'Нецензурная лексика', 'ООС', 'От врагов к возлюбленным', 'От врагов к друзьям к возлюбленным', 'Повествование от первого лица', 'Приключения', 'Романтика', 'Счастливый финал', 'Тайны / Секреты', 'Триллер', 'Ужасы', 'Фантастика', 'Фэнтези']",['Нецензурная лексика'],PG-13,В процессе,53,26,11,"планируется Миди, написано                                                8 страниц,
                                                5 частей","В старом доме СССР все было нормально. Ну не совсем. Все часто слышали страшные звуки, раздающиеся по ночам. Через несколько лет России понадобилось что-то в этом доме. Он пошёл туда и пропал. За ним пошли ещё некоторые страны и тоже пропали. Теперь пропавшим странам придётся разгадать тайну старого дома и выбраться оттуда. Но какой ценой?",,"1. Здесь страны, которые сейчас не существуют (к примеру СССР), не умирают, а подают в отставку
2. Но страны могут умирать",Уточнять у автора/переводчика,False
536,Необычный для меня,['Роулинг Джоан «Гарри Поттер»'],['VaRyA_00'],"['ОЖП/Драко Малфой', 'Панси Паркинсон/Блейз Забини']",Гет,"['Алкоголь', 'Алкогольные игры', 'Анальный секс', 'Грубый секс', 'Драма', 'Дружба', 'Засосы / Укусы', 'Любовь/Ненависть', 'Мастурбация', 'Нежный секс', 'Незащищенный секс', 'Нецензурная лексика', 'Романтика', 'Секс в нетрезвом виде', 'Секс в публичных местах']","['Алкоголь', 'Алкогольные игры', 'Анальный секс', 'Грубый секс', 'Мастурбация', 'Нежный секс', 'Незащищенный секс', 'Нецензурная лексика', 'Секс в нетрезвом виде', 'Секс в публичных местах']",NC-17,В процессе,7,9,2,"планируется Миди, написано                                                12 страниц,
                                                9 частей","Эта история о девочке у которой был не друг. Она вела себя с ним не так как с не другом, заигрывала с ним. Он был ей безразличен. Но в один момент он стал для неё другим, он стал для неё необычным .
 Немного о ней: Лиса Эбигейл, учится на шестом курсе на факультете слизерин. ",,,Уточнять у автора/переводчика,False
537,Серые краски с блёстками,['Genshin Impact'],['Alypia'],"['Кэйа Альберих/Люмин', 'Сяо/Итэр', 'Рэйзор/Эмбер', 'Дилюк Рагнвиндр/Венти']",Смешанная,"['AU: Школа', 'Underage', 'Алкоголь', 'Ангст', 'Курение', 'Насилие', 'Нецензурная лексика', 'ООС', 'Повседневность', 'Психологические травмы', 'Смерть второстепенных персонажей', 'Упоминания наркотиков', 'Упоминания самоубийства']","['Underage', 'Алкоголь', 'Курение', 'Насилие', 'Нецензурная лексика', 'Упоминания наркотиков']",R,В процессе,1,0,0,"планируется Мини, написано                                                5 страниц,
                                                1 часть","Старшая школа бывает безжалостна по отношению к новым ученикам. Молись всем богам, чтобы тебя приняли в коллектив и ты сумел завести себе друзей. Близнецы молились всю среднюю школу, чтобы их новый этап в жизни прошёл как по маслу. И возможно боги их услышали, но правильно ли? ",,Идея давно жила в голове.,Уточнять у автора/переводчика,False
538,Не думай о пустоте,"['Черепашки-ниндзя', 'Уличные панки']",['LilviVix'],['М.С./Донателло'],Слэш,"['AU', 'Hurt/Comfort', 'Боль', 'Воспоминания', 'Драма', 'Забота / Поддержка', 'Курение', 'Нецензурная лексика', 'ООС', 'Подростки', 'Попаданчество', 'Приключения', 'Психология', 'Разговоры', 'Романтика', 'Селфхарм', 'Упоминания селфхарма', 'Юмор']","['Курение', 'Нецензурная лексика', 'Селфхарм', 'Упоминания селфхарма']",NC-17,В процессе,23,18,5,"планируется Макси, написано                                                55 страниц,
                                                10 частей","М.С. попадает в пустоту. Где встречает двойника своего брата. Вместе они пытаются найти выход из пустоты. 
Получиться ли им найти выход? К чему это приведет?",,"Это моя первая работа,буду ждать критики,надеюсь вам понравится.В дальнейшем планирую развиваться и рисовать рисунки к главам.",Уточнять у автора/переводчика,False
539,"Сегодня НЕ увидишь своего мужа, нагито-кун💕","['Danganronpa: Trigger Happy Havoc (Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei)', 'Danganronpa 2: Goodbye Despair', 'DanganronpaV3:killing Harmory']",['Lol_lolopik'],"['Кайто Мамото/Нагито Комаэда', 'Нагито Комаэда/Хаджимэ Хината', 'Кокичи Ома/Нагито Комаэда', 'Нагито Комаэда/Кайто Мамото/Кокичи Ома']",Другие виды отношений,"['AU', 'Hurt/Comfort', 'Ангст', 'Временная смерть персонажа', 'Драма', 'Засосы / Укусы', 'Любовь/Ненависть', 'Мастурбация', 'Минет', 'Насилие', 'Нецензурная лексика', 'Семьи', 'Смерть основных персонажей', 'Течка / Гон', 'Яндэрэ']","['Мастурбация', 'Минет', 'Насилие', 'Нецензурная лексика', 'Течка / Гон']",NC-17,В процессе,5,3,1,"планируется Миди, написано                                                6 страниц,
                                                2 части","Заместь казни Кайте Момото дали игровой кубик,после чего его кастрировали на несколько недель. Но половие органи девушки проявили себя,Кайто влюбился в Нагото куна,но он етого не стидился ведь пока он щитаеться натуралом. Но вот незадача у Нагито куна уже есть 1 семья, слэша. Кайто не воспринял такой грубости и решил отомстить,оставив записку в столовой ""Не жди своего мужа,малиш"". Что же будет с бедним хаджиме которий попал под урон яндерки?",,"Момото,поздравляю тебя я пишу фф про нашу ролку 😀💕",Уточнять у автора/переводчика,False
540,Закрытая дверь(дверной проём),['Ориджиналы'],['NastyDaddy'],[],Фемслэш,"['Hurt/Comfort', 'Детектив', 'Драма', 'Нецензурная лексика', 'Романтика', 'Смерть основных персонажей', 'Ужасы']",['Нецензурная лексика'],NC-21,В процессе,0,0,0,"планируется Мини, написана                                                1 страница,
                                                1 часть","Одним туманным июльским вечером, детектив Касабланка сталкивается с напуганной девушкой Донной.",,ЕееЕееЕЕйжИи вставай брат(делаем с подругой🤠),Запрещено в любом виде,False
541,Твои ручки такие холодные...,['Ориджиналы'],['Позерка332'],"['Рома Пятифан/ОЖП, Бяша, Катя Смирнова, Полина Морозова, Антон Петров, Бабурин Семён, Оля Петрова']",Слэш,"['AU', 'Дружба', 'Любовь/Ненависть', 'Нецензурная лексика', 'ОЖП', 'Романтика', 'Фэнтези']",['Нецензурная лексика'],NC-21,В процессе,0,1,0,"планируется Миди, написана                                                1 страница,
                                                1 часть","Маленькая девочка Наденька, ещё будучи ребёнком попала в страшную трагедию  в маленьком посёлке... А в прочем что я буду спойлерить, я вам эту историю и расскажу)!",,"Это моя первая работа, и надеюсь не последняя, главы выходят каждый день! Буду чихать ваши тёплые отзывы, и добавлять идеи)",Уточнять у автора/переводчика,False
542,стонарики по райяри,['Райя и последний дракон'],['Аня Sfinks'],['Намаари/Райя'],Фемслэш,"['AU', 'Вампиры', 'Засосы / Укусы', 'Кинк на руки', 'Микрофикшен', 'Наги', 'Нецензурная лексика', 'Оборотни', 'Омегаверс', 'Офисы', 'Официанты / Официантки', 'Радио', 'Секс по телефону', 'Смерть основных персонажей', 'Стимуляция руками', 'Тюрьмы / Темницы', 'Уличные гонки', 'Упоминания изнасилования']","['Кинк на руки', 'Нецензурная лексика', 'Секс по телефону', 'Стимуляция руками', 'Упоминания изнасилования']",R,Завершён,7,3,1,"20 страниц,
                                                20 частей",разнорейтинговые драбблы на 100 слов по ключевым словам,,,Уточнять у автора/переводчика,False
543,Любовь не знает границ,['Реальные люди'],"['Глеб Бакугов', 'Мидорияах']","['Руди Ричардс /• Андрей Ульянов', 'альфа!• Наталья Анатольевна /омега!• Александра Романенко']",Смешанная,"['Анальный секс', 'Беременность', 'Громкий секс', 'Защищенный секс', 'Курение', 'Нежный секс', 'Незащищенный секс', 'Несчастливый финал', 'Несчастные случаи', 'Нецензурная лексика', 'Преподаватели', 'Романтика', 'Смерть основных персонажей', 'Тихий секс', 'Убийства', 'Упоминания убийств', 'Футбол', 'Хоккей', 'Школьники']","['Анальный секс', 'Громкий секс', 'Защищенный секс', 'Курение', 'Нежный секс', 'Незащищенный секс', 'Нецензурная лексика', 'Тихий секс']",NC-21,В процессе,1,0,0,"планируется Миди, написано                                                35 страниц,
                                                12 частей","Работа будет ну может большая, а может и нет. ",,,Уточнять у автора/переводчика,False
544,"Одна банда, дуэт",['13 Карт'],['_Овнушка_'],[],Слэш,"['AU', 'Драма', 'Нежный секс', 'Нецензурная лексика', 'ООС', 'Романтика', 'Юмор']","['Нежный секс', 'Нецензурная лексика']",NC-17,В процессе,13,8,0,"планируется Миди, написано                                                33 страницы,
                                                11 частей","Пиковые тоже любят друг друга, но просто не проявляют это при других, как другие масти...
Пик понял, что что бы утихомирить Вару с ним нужно 'подружиться'   
 или пот**хаться 🌚. 
         (Отношения будут здоровыми)",,"Если что, то я рил старалась
Я сюжет неделю 🥞 обдумывала!!!
И да, смотрю это традиция:
     Это мой 1й ФФ, не судите строго.",Запрещено в любом виде,False
545,together forever,"['Импровизация', 'Антон Шастун', 'Арсений Попов']","['импро ру', 'Поверь в волшебство']",['Арсений Попов/Антон Шастун'],Слэш,"['AU', 'Hurt/Comfort', 'Алкоголь', 'Второй шанс', 'Драма', 'Игровое расстройство', 'Измена', 'Каминг-аут', 'Любовь/Ненависть', 'Неформальный брак', 'Нецензурная лексика', 'Обещания / Клятвы', 'Рассказ в рассказе', 'Расставание', 'Счастливый финал', 'Шантаж']","['Алкоголь', 'Нецензурная лексика']",R,В процессе,14,1,6,"планируется Миди, написана                                                21 страница,
                                                6 частей","Немного помявшись Шастун достаёт незамысловатую коробочку из своей сумки.И протягивает Арсению.

-Что это?-ошарашено спрашивает он.

-Не предложение делаю,спокойно говорит Шаст, буквально впихивая коробку в руки парня -Открывай!

	Под пристальным взглядом Арсений открывает её.Там аккуратно лежат два кольца с гравировкой внутри.Надпись внутри была"" together forever"" ,которая гласила - вместе навсегда.
(ау- в котором,Арс и Антон находятся в отношениях,но не всё идёт гладко)",,"Самая первая моя работа по Артонам.Собиралась  сделать один большой драббл,но подумав,решила сделать мини работу.
Вдохновлялась песней Мари Краймбрери - она тебе не идёт(вы потом поймете,вклад этой песни в работу)",Уточнять у автора/переводчика,False
546,Поникший в омуте соблазна,['Stray Kids'],"['_lost.heaven_', 'kis_met']","['Бан Чан/Ян Чонин', 'Хван Хёнджин/Ли Минхо', 'Со Чанбин/Ли Феликс']",Слэш,"['AU', 'Hurt/Comfort', 'Underage', 'Ангст', 'Нецензурная лексика', 'Омегаверс']","['Underage', 'Нецензурная лексика']",NC-17,Завершён,0,0,0,"40 страниц,
                                                1 часть","- Если ты сейчас прыгнешь, я прыгну за тобой.
-  Врешь - хмыкает парень, убирая руки в карманы и смотрит вниз
- Проверим ? - смеется тот и поднимается к нему на самый край, выбрасывая бутылку пива прямо в эту бездну",,,Уточнять у автора/переводчика,False
547,я тебя люблю.,['Метал семья (Семья металлистов)'],['BrightZorkaaa'],['Глэм/Чес'],Слэш,"['Ангст', 'Жестокость', 'Курение', 'Лапслок', 'Нездоровые отношения', 'Нецензурная лексика', 'ООС', 'Повседневность', 'Селфхарм']","['Жестокость', 'Курение', 'Нецензурная лексика', 'Селфхарм']",R,Завершён,0,0,0,"3 страницы,
                                                1 часть","
«я тебя люблю» - читай между строк. и ведь там читается «я тебя убью», уверяю.  ",,"мне нечего сказать, ахах.",Уточнять у автора/переводчика,False
548,Coffe,['Bangtan Boys (BTS)'],"['Арми_Алкашка', 'Crazybanana805']",[],Слэш,"['AU', 'PWP', 'Кинк на нижнее белье', 'Кинк на ошейники', 'Кинк на чулки', 'Кинки / Фетиши', 'Курение', 'Минет', 'Нецензурная лексика']","['PWP', 'Кинк на нижнее белье', 'Кинк на ошейники', 'Кинк на чулки', 'Кинки / Фетиши', 'Курение', 'Минет', 'Нецензурная лексика']",NC-17,Завершён,0,0,0,"2 страницы,
                                                1 часть","Юнги, решил сделать сюрприз своему папочке.",,,Уточнять у автора/переводчика,False
549,Follia,['Katekyo Hitman Reborn!'],"['Настюха тян', 'Anyon-Minyon']",[],Джен,"['Hurt/Comfort', 'Ангст', 'Драма', 'Мистика', 'Насилие', 'Нецензурная лексика', 'Рейтинг за насилие / Рейтинг за жестокость', 'Смерть второстепенных персонажей', 'Ужасы', 'Частичный ООС']","['Насилие', 'Нецензурная лексика', 'Рейтинг за насилие / Рейтинг за жестокость']",NC-17,В процессе,42,69,19,"планируется Макси, написано                                                174 страницы,
                                                17 частей","Раз в десять лет иллюзионисты теряют контроль над кольцом ада и впадают в некое состояние безумия на три дня. Если успокоить тех не получается, мафиози используют вакцину. Ликура - вакцина способная усмирить обезумевшего иллюзиониста. Применять ее рекомендуется только в крайне безвыходной ситуации, так как после использования возможна смерть самого иллюзиониста. Как же поступит Вария столкнувшись с этой проблемой?",,,Уточнять у автора/переводчика,False
550,"""One love,one story""/ ""Одна любовь, одна история""",['Егор Крид (ex.KReeD)'],['T_KP_4'],['Егор Булаткин/ОЖП'],Гет,"['Алкоголь', 'Драма', 'Изнасилование', 'Любовь/Ненависть', 'Насилие', 'Несчастливый финал', 'Нецензурная лексика', 'ОЖП', 'Повседневность', 'Романтика']","['Алкоголь', 'Изнасилование', 'Насилие', 'Нецензурная лексика']",NC-17,В процессе,1,2,1,"планируется Миди, написано                                                10 страниц,
                                                4 части","Способна ли любовь разрушить все на своем пути? Даже стену ненависти,которая строилась годами!? Он думал, что знает о любви все. Он был уверен,что на протяжении 2 лет у него чистая любовь. Но,он слишком доверчив. Он добрый,искренний,и этим просто пользуются. После очередного предательства,он закрылся.Он потерял веру,что когда-нибудь опять полюбит. Работа стала для него всем.Он под тонной масок скрывает настоящего себя.Но спустя время,он вновь влюбляется,но его угораздило влюбится именно в нее.
",,"Это моя первая работа. Я писала ее 4 года назад в вк и решила здесь дать ей вторую жизнь, возможно получится...
Была вдохновлена треком Егор KReeD - One love, One story.",Уточнять у автора/переводчика,False
551,Осколки времени,['Bangtan Boys (BTS)'],"['Christen Chandller', '_SAHAROKVee_']","['ОЖП/Чон Чонгук', 'ОЖП/dark!Пак Чимин']",Гет,"['AU', 'Hurt/Comfort', 'Ангст', 'Аристократия', 'Беременность', 'Дарк', 'Драма', 'Изнасилование', 'Исторические эпохи', 'Любовь/Ненависть', 'Насилие', 'Нежелательная беременность', 'Нецензурная лексика', 'ОЖП', 'Попаданцы: В своем теле', 'Психологическое насилие', 'Смерть основных персонажей', 'Хронофантастика', 'Элементы мистики']","['Изнасилование', 'Насилие', 'Нецензурная лексика']",NC-21,В процессе,70,48,29,"планируется Макси, написано                                                32 страницы,
                                                4 части","Испокон веков существует множество пророчеств, каждое из которых определяет судьбу человека. Одно из них гласит, что попаданка не должна выжить. Такие здесь не выживают.  Девушке нет места на этой земле. Таким, как она, не найти властного, но доброго покровителя. Нет,не в этой реальности. Ведь однажды ощутив вкус подчинения, трудно остановиться.",,"От автора: Посвящается всем моим прекрасным читательницам. Не бойтесь мечтать и помните, чем выше ваши грезы, тем дальше будет ваш путь.

Я буду благодарена любой критике и отзывам о моей работе. Таким образом я смогу понимать, что книга нравится, и я двигаюсь в правильном направлении. Ведь признание и активность читателей - лучшая мотивация!",Уточнять у автора/переводчика,False
552,Да как же ты без меня,['Minecraft'],"['Mrs.Maflya9', 'КуСоЧеК ЗеФиРа']",['Херобрин/Стив'],Слэш,"['Выживание', 'Изнасилование', 'Любовь/Ненависть', 'Мужская беременность', 'Насилие', 'Нецензурная лексика', 'Омегаверс', 'Первый раз', 'Разница в возрасте', 'Романтика', 'Сверхспособности', 'Смерть основных персонажей', 'Счастливый финал', 'Фантастика', 'Флафф']","['Изнасилование', 'Насилие', 'Нецензурная лексика']",NC-17,В процессе,114,97,14,"планируется Миди, написано                                                22 страницы,
                                                9 частей",История о жизни Херобрина и Стива.,,"Это мой первый, неопытный фик, постараюсь вас заинтересовать! 
Что на счёт грамоты, я постараюсь много не ошибаться)",Уточнять у автора/переводчика,False
553,Гений в маленьком тельце,['Академия Амбрелла'],['Сирена_милс'],"['ОЖП/Пятый', 'Ваня Харгривз/Грэйс Харгривз']",Смешанная,"['Алкоголь', 'Любовь/Ненависть', 'Нецензурная лексика', 'Сводные родственники']","['Алкоголь', 'Нецензурная лексика']",NC-17,В процессе,0,0,0,"планируется Мини, написано                                                7 страниц,
                                                3 части","Главная героиня-номер 3,14 или Круэлла, была приёмным ребёнком Реджинальда Харгривза, как и её братья и сёстры",,,Уточнять у автора/переводчика,False
554,Погрязшие в чувствах,['Bangtan Boys (BTS)'],['taexga'],['Т/и'],Гет,"['PWP', 'Underage', 'Нецензурная лексика', 'Рейтинг за секс', 'Романтика', 'Школьники']","['PWP', 'Underage', 'Нецензурная лексика', 'Рейтинг за секс']",NC-21,В процессе,1,0,0,"планируется Мини, написано                                                12 страниц,
                                                3 части","  Ты не можешь просто ворваться в мою жизнь и свести меня с ума, Чон Чонгук!",,,Уточнять у автора/переводчика,False
555,Ящик Пандоры,"['Дэшнер Джеймс «Бегущий по Лабиринту»', 'Бегущий в Лабиринте']",['Arthur Blaine'],['Ньютон/Томас'],Слэш,"['AU', 'Hurt/Comfort', 'Ангст', 'Детектив', 'Драма', 'Изгнанники', 'Мистика', 'Нецензурная лексика', 'ОМП', 'ООС', 'Омегаверс', 'Отклонения от канона', 'Подростки']",['Нецензурная лексика'],NC-17,В процессе,256,127,55,"планируется Макси, написана                                                231 страница,
                                                14 частей","- Он... омега... - спустя какое-то время выдавил из себя Ньют, совсем растерявшись.
- Плюсик тебе за сообразительность, - с сарказмом отозвался Галли.
- Где вы его вообще откопали? - Ньютон вопросительного взглянул на Алби, пропустив мимо ушей реплику Приютеля.
- Его Крысюк привёл. Сказал, что он теперь один из нас, - пояснил Альберт.",,"Пишу долго и со вкусом, так что добрый совет - либо запасись непробиваемым терпением, либо дождись пометки ""завершено"".",Уточнять у автора/переводчика,False
556,Что такое любовь?,['Tiny Bunny'],['pff_broencrush'],['Антон Петров/Рома Пятифан'],Слэш,"['Алкоголь', 'Кровь / Травмы', 'Курение', 'Насилие', 'Нецензурная лексика', 'Повествование от нескольких лиц', 'Подростки', 'Россия', 'Селфхарм', 'Элементы ангста', 'Элементы драмы', 'Элементы юмора / Элементы стёба']","['Алкоголь', 'Курение', 'Насилие', 'Нецензурная лексика', 'Селфхарм']",R,В процессе,74,27,10,"планируется Миди, написана                                                21 страница,
                                                10 частей","Антон, вступая в банду, даже не думал что начнёт испытывать симпатию к главарю этой банды - Роме.
Что же будет делать Антон? Что ответит на это Рома?",,Опять... Эксперименты,Уточнять у автора/переводчика,False
557,Чёрное сердце ангела,['Клуб Романтики: Секрет небес'],['Captain Tiger'],"['Вики Уокер/Геральд', 'Лилу/Дино', 'Вики Уокер/Дино', 'Ади/Сэми', 'Мими/Люцифер']",Гет,"['Анальный секс', 'Ангелы', 'Ангст', 'Демоны', 'Изнасилование', 'Мастурбация', 'Нецензурная лексика', 'Разница в возрасте', 'Романтика', 'Сексуальное насилие', 'Стимуляция руками', 'Счастливый финал', 'Упоминания самоубийства']","['Анальный секс', 'Изнасилование', 'Мастурбация', 'Нецензурная лексика', 'Сексуальное насилие', 'Стимуляция руками']",NC-17,В процессе,23,106,9,"планируется Миди, написано                                                55 страниц,
                                                19 частей","...спустя столько лет он до сих пор корит себя за то, что сделал с ней. Ведь именно из-за него она стала той кем являлась сейчас...",,,Уточнять у автора/переводчика,False
558,Ты только держись,['Ривердейл'],['Anon.im34'],[],Фемслэш,"['Алкоголь', 'Насилие', 'Нецензурная лексика', 'ООС', 'Отклонения от канона', 'Повседневность', 'Психология', 'Романтика']","['Алкоголь', 'Насилие', 'Нецензурная лексика']",NC-17,В процессе,1,0,1,"планируется Миди, написано                                                5 страниц,
                                                3 части","–все будет хорошо, не бойся–одними губами прошептала она и отпустила руку рыжеволосой. 
Шерил мгновенно ощутила холодок, хотелось, чтобы незнакомка вновь взяла ее за руку, ведь это почему-то так ее успокаивало.",,,Уточнять у автора/переводчика,False
559,Слуга или невеста вампира?,['Сказочный патруль'],['Kira_Rizik'],"['Влад/Варя', 'Алиса/Шикан', 'Александр Абрикосов/Алёна Рыжова']",Гет,"['Вампиры', 'Засосы / Укусы', 'Любовь/Ненависть', 'Насилие', 'Нецензурная лексика', 'Потеря девственности', 'Романтика']","['Насилие', 'Нецензурная лексика', 'Потеря девственности']",R,В процессе,1,1,0,"планируется Миди, написано                                                2 страницы,
                                                1 часть","А что если бы Влад был вампиром, а Варя обычной девушкой которая случайно встретила вампира. Влад жестокий вампир, а Варя его прислуга для развлечения 'или не только прислуга?""
Вампиры и люди живут в одном мире, но всё равно вампиры по статусу выше людей. А всеми ими управляет безжалостный и безразличны король вампир Влад. ",,,Разрешено только в виде ссылки,False
560,The Chosen End,['Hetalia: Axis Powers'],['Lorelina'],['Россия/Америка'],Слэш,"['XIX век', 'XX век', 'Ангст', 'Драма', 'Историческая Хеталия', 'Нецензурная лексика', 'Отклонения от канона', 'По разные стороны', 'Развитие отношений', 'Романтика', 'Сложные отношения']",['Нецензурная лексика'],Перевод,NC-17,59,246,18,"планируется Макси, написано                                                203 страницы,
                                                30 частей","The Chosen End — цикл об отношениях России и Америки, от их первого дипломатического контакта до нынешних дней. ПРОДОЛЖЕНИЕ ПЕРЕВОДА (х2).",,,Уточнять у автора/переводчика,False
